Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,Var(error)
SARIMA Global,2.0475504047016737,1.6263345780779586,0.2020480723770584,4.151639236242702,0.5933333333333334,0.8066666666666666,-2.446500518232912,
SARIMA Avg-Window,2.0518437842560355,1.6330775339302792,0.18841693946785007,4.1745619719116975,0.6766666666666666,0.8733333333333333,-2.298120992214405,
GARCH,2.053502560735701,1.633814041445484,0.20237495927655103,4.175917142805896,0.7733333333333333,0.9133333333333333,-2.256940162187957,
SARIMA Rolling,2.0678140308029036,1.6503672894226964,0.1788932040360141,4.24385208753508,0.7333333333333333,0.8933333333333333,-2.2808832735068276,
SARIMA Global,2.2350569822665376,1.5565243293218038,0.1889890831891746,4.959762840413717,0.6466666666666666,0.83,-2.6417738978644487,
SARIMA Avg-Window,2.2381465429636624,1.5678403277631268,0.1848707643559099,4.975122748266656,0.72,0.8766666666666667,-2.4155287379450914,
GARCH,2.24376160234603,1.557493305718741,0.1922154985607294,4.997519330275475,0.7666666666666667,0.8866666666666667,-2.3549885584415446,
SARIMA Rolling,2.2702638477577906,1.608599768804358,0.16808916057431408,5.12584397253343,0.7533333333333333,0.8966666666666666,-2.3994077913785095,
GARCH,2.031110454754489,1.3335334150756888,0.28837265363486875,4.042250892048574,0.79,0.89,-2.1884419647843947,
SARIMA Global,2.0377555216247325,1.3493192643534777,0.29235371918388303,4.066976868791438,0.7233333333333334,0.8533333333333334,-2.3865980900175887,
SARIMA Avg-Window,2.057566372693737,1.368794412829607,0.28559933695336737,4.152012396771861,0.7833333333333333,0.8766666666666667,-2.2048547979012882,
SARIMA Rolling,2.0948107109004783,1.414708918706388,0.26801650675167144,4.316399066611999,0.7866666666666666,0.89,-2.1915825545645515,
MS AR(1),1.4787282947842402,1.1690744881363495,-0.20569604707878553,2.1443265060116685,0.79,0.9033333333333333,-1.9858949192951518,
SARIMA Rolling,1.482576481579997,1.17308073440946,-0.1803027556236248,2.1655239400486503,0.8033333333333333,0.9466666666666667,-1.803462719974461,
SARIMA Avg-Window,1.4876354420649824,1.1766121703929002,-0.18198146094122733,2.179941956361572,0.8233333333333334,0.9533333333333334,-1.795020682840958,
SARIMA Global,1.4960485344843506,1.1794582375352414,-0.19781955994430214,2.1990286392362153,0.8266666666666667,0.9566666666666667,-1.8201943176766449,
SARIMA + Break Dummy (oracle Tb),0.9788558547965187,0.7606877593805247,0.15682944561340828,,,,,0.9335633094580142
Simple Exp. Smoothing (SES),1.0597764603570479,0.8488446548227349,0.06442884148917687,,,,,1.118975070311276
Holt-Winters (additive),1.0979302722119493,0.8643303266153695,0.026603102598974124,,,,,1.2047431575715133
SARIMA Rolling,1.1424317936108728,0.9058634930172247,0.18332867507913023,,,,,1.2715409999466862
SARIMA Global,1.1482424032545722,0.8985223002945417,0.3800024606271186,,,,,1.1740587465491703
SARIMA + Break Dummy (oracle Tb),1.0609781774955163,0.778475115455292,0.14510462806789468,,,,,1.1046193400349855
Simple Exp. Smoothing (SES),1.127820795209621,0.8284360594593064,0.036300573513316024,,,,,1.2706620144698666
Holt-Winters (additive),1.1599176817570862,0.8560797445041957,-0.0054423243199261265,,,,,1.3453794095587295
SARIMA Rolling,1.203333375358277,0.8658650554735051,0.21053133154322848,,,,,1.4036877706897792
SARIMA Global,1.2418817175924535,0.922679860710922,0.39032072303609566,,,,,1.3899199336589618
SARIMA + Break Dummy (oracle Tb),1.105615530985738,0.7405225812587651,0.16549167268041265,,,,,1.1949982086303148
Simple Exp. Smoothing (SES),1.1327766295764476,0.777433598328017,0.06444719318541345,,,,,1.2790294518050984
Holt-Winters (additive),1.1371321995918968,0.8046301107765084,0.04569728507640491,,,,,1.2909813974853512
SARIMA Rolling,1.2194822164604882,0.8433861736819072,0.2114117246755013,,,,,1.4424419589331148
SARIMA Global,1.2283765651868994,0.8694744941757127,0.3983787078011992,,,,,1.3502033910710114
SARIMA + Midpoint Dummy (proxy Tb),1.0956681783048392,0.8906231841165372,0.028718134079990233,,,,,1.1996640257248086
SARIMA Global,1.1253216872436507,0.9019382803061528,0.1931444446502344,,,,,1.2290441232816496
SARIMA Rolling,1.1504442870093918,0.9284855843329395,0.1919145842907141,,,,,1.2866908498490703
Simple Exp. Smoothing (SES),1.1548362594184087,0.9101302964335803,0.02665362711725227,,,,,1.332936370228997
Holt-Winters (additive),1.1797919017228615,0.9234558715131476,0.011400987997689238,,,,,1.3917789488435228
MS AR,1.073506313847308,0.8456306930294333,0.03531777600391822,1.1511684605681722,,,,
Rolling SARIMA,1.0949975638225582,0.8651186728949031,0.04330176596389073,1.1971446218417456,,,,
Global SARIMA,1.1701647539714994,0.9297154525642543,0.028792374524596282,1.3684565506064155,,,,
MS AR,0.9653216389745042,0.730853981741823,0.04083975603967491,0.9301779809990429,,,,
Rolling SARIMA,0.9780946648074064,0.750957458919922,0.014275886556428015,0.9564653723877407,,,,
Global SARIMA,1.047602905320605,0.8032382191729375,0.012369956902163125,1.0973188314024114,,,,
Rolling SARIMA,0.9106007856176678,0.6792449817504204,0.021178868437514393,0.8287452462992199,,,,
MS AR,1.050176952850015,0.7117607151467117,-0.013834993271383352,1.1026802252585237,,,,
Global SARIMA,1.093118674096982,0.7950503570134515,0.05263351894722194,1.1921381483427762,,,,
MS AR,1.1426000516924022,0.8921690290156759,0.025299518614480723,1.3048948124853559,,,,
Global SARIMA,1.1694507543069215,0.9117005470470458,0.004057964101049117,1.3675985996763818,,,,
Rolling SARIMA,1.1874680559133188,0.9256507788404315,0.005927188719228606,1.410045252248444,,,,
MS AR,1.0778142001107311,0.8570036178471442,0.0408268045906719,1.16001662198725,,,,
Rolling SARIMA,1.1214984488424737,0.899011364920088,-0.002697067784236076,1.2577514965814418,,,,
Global SARIMA,1.1237755801879334,0.8951520513749969,-0.011399471486555622,1.2627416066765533,,,,
MS AR,1.031787523564592,0.8042929360434155,-0.010238436445407336,1.0644806682027068,,,,
Rolling SARIMA,1.0668301418490729,0.8408400642311148,-0.012241457929295619,1.1379766982654784,,,,
Global SARIMA,1.0974023428361168,0.8514988567226773,-0.05818879304184385,1.2009059664265316,,,,
