Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore
GARCH,1.9306299442174446,1.551001426073907,-0.3835274832451301,3.5802386511047093,0.6666666666666666,0.8666666666666667,-2.226169497873658
SARIMA Global,1.9857698446383387,1.586757679277432,-0.3770033595646344,3.801150342751951,0.6,0.7666666666666667,-2.5013826082080737
SARIMA Avg-Window,2.0230259884386252,1.6011839388864717,-0.38396107913515026,3.9452080396074476,0.6666666666666666,0.7666666666666667,-2.3910135270407524
SARIMA Rolling,2.0945137993085585,1.6455551958460348,-0.41708073982858895,4.213031711958009,0.6666666666666666,0.7666666666666667,-2.4030600873516588
SARIMA Rolling,2.2750079111230312,1.6035295675937715,0.02162264974205997,5.1751934566905105,0.7333333333333333,0.8666666666666667,-2.8313070311894646
SARIMA Avg-Window,2.301403562382665,1.6410016355660642,-0.024009067371583027,5.295881921631565,0.6666666666666666,0.8666666666666667,-2.962773537042364
SARIMA Global,2.3165433440921945,1.6435502328244798,0.04048179217871707,5.3647342895598475,0.5666666666666667,0.7666666666666667,-2.9999513836581735
GARCH,2.3447166102277786,1.6489564462281683,0.10125199308396504,5.487444016174568,0.7,0.8333333333333334,-2.8087704892036167
GARCH,1.9721315315523684,1.28855483987477,-0.08438603494657831,3.882181774849086,0.7666666666666667,0.8,-2.9966793999428862
SARIMA Global,1.9815329397106447,1.2659817113797667,-0.09230957682681108,3.917951733184364,0.7666666666666667,0.8333333333333334,-2.7063687393789513
SARIMA Avg-Window,2.0030608664726675,1.2437562540782356,-0.12760701193393392,3.995969285299525,0.8,0.8666666666666667,-2.9686802590386288
SARIMA Rolling,2.0171406861020853,1.2385342364661098,-0.14767728451633547,4.047047967166273,0.7666666666666667,0.8666666666666667,-2.8579536475075695
MS AR(1),1.5991931972056648,1.2332514174953506,0.27135714040290526,2.4837841843412347,0.7333333333333333,0.8,-2.3697984272881047
SARIMA Avg-Window,1.6516384739615744,1.232871736665881,0.2587582224229536,2.660953830998632,0.7333333333333333,0.8666666666666667,-2.005286841638354
SARIMA Global,1.6730986787141329,1.2666975121955775,0.28625373050978226,2.71731799048421,0.7333333333333333,0.8666666666666667,-2.01373763511573
SARIMA Rolling,1.6982360444742353,1.2890423719748463,0.20598858976505513,2.8415743636381006,0.7333333333333333,0.8666666666666667,-2.0507264271418517
